title,release_date,platforms,genres
Stronghold,1993-01-01,Unknown,"city-building game, real-time strategy"
Stronghold 2,2005-04-18,Microsoft Windows,real-time strategy
Stronghold 3,2011-10-25,"Microsoft Windows, macOS",real-time strategy
Stronghold Legends,2006-10-13,"Microsoft Windows, personal computer","real-time strategy, strategy video game"
Stronghold: Crusader,2002-07-31,Microsoft Windows,"real-time strategy, simulation video game"
Stunt Car Racer,1989-01-01,"Amstrad CPC, Atari ST, Commodore 64, DOS, Microsoft Windows, ZX Spectrum",racing video game
Stunt Race FX,1994-06-04,Super Nintendo Entertainment System,racing video game
Stunts,1990-10-01,"DOS, FM Towns, NEC PC-9800 series",racing video game
Style Savvy,2008-10-23,"Nintendo DS, Wii U",dress-up video game
Sub Command,2001-01-01,Microsoft Windows,submarine simulator
Submarine TITANS,2000-08-09,Microsoft Windows,"science fiction video game, strategy video game"
Sudden Attack,2005-04-11,Microsoft Windows,first-person shooter
Summer Camp,1991-01-01,Commodore 64,action game
Summer Days,,Microsoft Windows,"drama film, eroge, harem, visual novel"
Summer Games,1984-01-01,"Atari 2600, Atari 7800, Commodore 64, ZX Spectrum",sports video game
Summon Night: Twin Age,2007-08-30,Nintendo DS,action role-playing game
SunDog: Frozen Legacy,1984-01-01,Apple II series,"role-playing video game, science fiction video game, space trading and combat game"
Sunset Riders,1991-09-04,"PlayStation, Super Nintendo Entertainment System, arcade video game",shoot 'em up
Super 3D Noah's Ark,1994-01-01,"DOS, Microsoft Windows, Super Nintendo Entertainment System, macOS","Christian video game, action game, first-person shooter"
Super Back to the Future Part II,1993-07-23,Super Nintendo Entertainment System,platformer
Super Bomberman 3,1995-01-01,Super Nintendo Entertainment System,"action game, maze video game, science fiction video game"
Super Bonk,1994-07-22,Super Nintendo Entertainment System,platformer
Super Cars,1990-01-01,"Amstrad CPC, Commodore 64, MSX, Nintendo Entertainment System, ZX Spectrum",racing video game
Super Columbine Massacre RPG!,2005-04-01,Microsoft Windows,role-playing video game
Super Dimension Fortress Macross,2003-10-23,PlayStation 4,action game
Super Dodge Ball,1990-03-30,"PlayStation 4, TurboGrafx-16","dodgeball video game, sports video game"
Super Double Dragon,1992-10-01,Super Nintendo Entertainment System,beat 'em up
Super Fantasy Zone,1992-01-14,PlayStation,shoot 'em up
Super Ghouls 'n Ghosts,1991-10-04,"Super Nintendo Entertainment System, Wii U",platformer
Super Hexagon,2012-09-06,"BlackBerry 10, Microsoft Windows, iOS, macOS",action game
Super Mario 3D Land,2011-11-03,Nintendo 3DS,platformer
Super Mario 64,1996-06-23,"Nintendo 64, Wii U","3D platform game, collect-a-thon platformer"
Super Mario Advance 4: Super Mario Bros. 3,2003-07-11,Wii U,platformer
Super Mario All-Stars,1993-07-14,"Super Nintendo Entertainment System, Wii",platformer
Super Mario Bros.,1985-01-01,Nintendo Entertainment System,2D platform game
Super Mario Bros. 2,1988-09-01,Nintendo Entertainment System,"2D platform game, video game with LGBT character"
Super Mario Bros. Crossover,2010-04-27,Microsoft Windows,"crossover fiction, platformer"
Super Mario Galaxy,2007-11-01,"Wii, Wii U",3D platform game
Super Mario Galaxy 2,2010-05-23,"Wii, Wii U",3D platform game
Super Mario Kart,1992-08-27,"Super Nintendo Entertainment System, Wii U",kart racing game
Super Mario Land 2: 6 Golden Coins,1992-10-21,Game Boy,2D platform game
Super Mario RPG,1996-03-09,"Super NES Classic Edition, Super Nintendo Entertainment System, Wii, Wii U","action role-playing game, turn-based Japanese role-playing game"
Super Mario Strikers,2005-11-18,Nintendo GameCube,association football video game
Super Mario World 2: Yoshi's Island,1995-08-05,"Super NES Classic Edition, Super Nintendo Entertainment System",platformer
Super Meat Boy,2010-10-20,"Microsoft Windows, Wii U, Xbox One, macOS",platformer
Super Metroid,1994-04-18,"Super Nintendo Entertainment System, Wii, Wii U","Metroidvania, action-adventure game, shooter game"
Super Monkey Ball,2001-01-01,"Nintendo GameCube, arcade video game","action game, arcade, party video game, platformer"
Super Paper Mario,2007-04-09,"Wii, Wii U","platformer, role-playing video game"
Super Pitfall,1986-09-05,"NEC PC-8800 series, Nintendo Entertainment System",Metroidvania
Super Princess Peach,2005-10-20,Nintendo DS,platformer
Super Punch-Out!!,1994-09-14,"Super Nintendo Entertainment System, arcade video game",boxing video game
Super R-Type,1991-07-13,Super Nintendo Entertainment System,"science fiction video game, shoot 'em up"
Super Robot Taisen: Original Generation,2002-11-22,Unknown,"mecha video game, tactical role-playing game"
Super Robot Wars 64,1999-10-29,Nintendo 64,"crossover fiction, mecha video game, tactical role-playing game"
Super Robot Wars A,2001-09-21,Unknown,"mecha video game, tactical role-playing game"
Super Robot Wars Destiny,2003-08-08,Unknown,tactical role-playing game
Super Robot Wars Gaiden: Masō Kishin – The Lord of Elemental,1996-01-01,"Nintendo DS, PlayStation Portable, Super Nintendo Entertainment System","mecha video game, science fiction video game, superhero video game, tactical role-playing game"
Super Robot Wars J,2005-09-15,Unknown,"mecha video game, tactical role-playing game"
Super Robot Wars MX,2004-05-27,PlayStation 4,"mecha video game, tactical role-playing game"
Super Robot Wars UX,2013-03-14,Nintendo 3DS,"mecha video game, tactical role-playing game"
Super Robot Wars W,2007-03-01,Nintendo DS,"mecha video game, tactical role-playing game"
Super Scramble Simulator,1989-01-01,"Commodore 64, ZX Spectrum",racing video game
Super Scribblenauts,2010-10-12,Nintendo DS,"action-adventure game, puzzle video game"
Super Smash Bros.,1999-01-21,Nintendo 64,"crossover fiction, platform fighter"
Super Smash Bros. Brawl,2008-01-31,Wii,"crossover fiction, platform fighter"
Super Smash Bros. Melee,2001-11-24,Nintendo GameCube,"crossover fiction, platform fighter"
Super Smash Bros. for Nintendo 3DS and Wii U,2014-01-01,"Nintendo 3DS, Wii U","crossover fiction, platform fighter"
Super Soccer,1991-12-13,Super Nintendo Entertainment System,association football video game
Super Sprint,1986-01-01,"Amstrad CPC, Atari ST, Commodore 64, Nintendo Entertainment System, ZX Spectrum",racing video game
Super Spy Hunter,1991-09-27,Nintendo Entertainment System,vehicular combat game
Super Star Wars,1992-11-01,"PlayStation Vita, Super Nintendo Entertainment System, Wii",platformer
Super Star Wars: Return of the Jedi,1994-06-22,"Game Boy, Super Nintendo Entertainment System, Wii",platformer
Super Star Wars: The Empire Strikes Back,1993-06-01,"Super Nintendo Entertainment System, Wii",platformer
Super Street Fighter II Turbo,1994-02-23,"3DO, Amiga 1200, DOS, Microsoft Windows, PlayStation 4",fighting game
Super Street Fighter IV,2010-04-27,"PlayStation 3, Xbox One",fighting game
Super Swing Golf,2006-12-02,Wii,golf video game
SuperPower 2,2004-10-11,Microsoft Windows,government simulation game
Superbrothers: Sword & Sworcery EP,2011-03-24,"Microsoft Windows, iOS, macOS",adventure video game
Superfrog,1993-01-01,"DOS, iOS, macOS",platformer
Superman,1979-01-01,Atari 2600,action-adventure game
Superman: Shadow of Apokolips,2002-09-25,"Nintendo GameCube, PlayStation 4",action-adventure game
Supremacy 1914,2009-09-06,"Microsoft Windows, macOS, mobile phone, web browser",real-time strategy
Supreme Commander,2007-02-16,"Microsoft Windows, Xbox One","real-time strategy, science fiction video game"
Supreme Commander 2,2010-03-02,"Microsoft Windows, Xbox One, macOS",real-time strategy
Supreme Ruler 2010,2005-05-10,Microsoft Windows,strategy video game
Survival Project,2001-11-01,Microsoft Windows,"fantasy video game, massively multiplayer online role-playing game"
Suspect,1984-10-05,"Amstrad CPC, Amstrad PCW, Apple II series, Atari 8-bit family, Atari ST, Classic Mac OS, Commodore 64, DOS","halloween video game, interactive fiction"
Sweet Home,1989-12-15,Family Computer,"psychological horror fiction, role-playing video game"
Swords of Xeen,1995-01-01,DOS,role-playing video game
Syberia,2002-01-09,"Microsoft Windows, PlayStation 3, PlayStation 4, iOS, macOS",adventure video game
Syberia II,2004-03-30,"Microsoft Windows, PlayStation 3, PlayStation 4, iOS, macOS",adventure video game
Symphonic Rain,2004-03-26,Microsoft Windows,"music video game, visual novel"
Syndicate,1993-06-06,"3DO, Acorn Archimedes, Amiga CD32, Atari Jaguar, Classic Mac OS, DOS, FM Towns, Microsoft Windows, PlayStation, Super Nintendo Entertainment System","cyberpunk video game, real-time tactics, science fiction video game, shoot 'em up, strategy video game"
Syndicate Wars,1996-10-31,"DOS, Microsoft Windows, PlayStation 2","cyberpunk video game, real-time tactics, science fiction video game"
Syobon Action,2007-02-21,Microsoft Windows,action-adventure game
Syphon Filter,1999-02-16,"PlayStation 2, PlayStation 3","action-adventure game, third-person shooter"
Syphon Filter 2,2000-03-14,PlayStation 2,"stealth game, third-person shooter"
Syphon Filter 3,2001-11-06,"PlayStation 2, PlayStation 3","action-adventure game, third-person shooter"
Syphon Filter: Logan's Shadow,2007-10-02,"PlayStation 4, PlayStation Portable","stealth game, third-person shooter"
Syphon Filter: The Omega Strain,2004-05-04,PlayStation 4,"stealth game, third-person shooter"
System Shock,1994-09-23,"Classic Mac OS, DOS","action-adventure game, cyberpunk video game"
System Shock 2,1999-08-11,"Microsoft Windows, macOS","action game, cyberpunk video game, first-person shooter, role-playing video game, survival horror"
Söldner: Secret Wars,2004-05-27,Microsoft Windows,"first-person shooter, third-person shooter"
Süpercan,2011-01-01,Microsoft Windows,action-adventure game
TD Overdrive: The Brotherhood of Speed,2002-05-27,"Microsoft Windows, PlayStation 4",racing video game
TERA,2011-01-25,Microsoft Windows,massively multiplayer online role-playing game
TMNT,2007-03-20,"Microsoft Windows, Nintendo DS, Nintendo GameCube, PlayStation 4, PlayStation Portable, Wii, Xbox One","action-adventure game, hack and slash"
TNA Impact!,2008-09-09,"PlayStation 3, PlayStation 4, Wii, Xbox One",fighting game
TNA Impact!: Cross the Line,2010-06-25,Nintendo DS,fighting game
TOCA 2 Touring Cars,1998-11-27,"Microsoft Windows, PlayStation 2",racing video game
TOCA Race Driver,2002-08-23,"Microsoft Windows, PlayStation 4",racing video game
TOCA Race Driver 2,2004-04-13,"Microsoft Windows, PlayStation 4",racing video game
TOCA Touring Car Championship,1997-11-01,"Microsoft Windows, PlayStation 2",racing video game
Tabula Rasa,2007-11-02,Microsoft Windows,"massively multiplayer online role-playing game, science fiction video game"
Tachyon: The Fringe,2000-03-30,Microsoft Windows,"space flight simulation game, space trading and combat game"
Tactical Ops: Assault on Terror,1999-12-23,Microsoft Windows,first-person shooter
Tactics Ogre: Let Us Cling Together,1995-10-06,"PlayStation 2, Super Nintendo Entertainment System",tactical role-playing game
Tag Team Match: MUSCLE,1985-11-08,Nintendo Entertainment System,action game
Tag: The Power of Paint,2009-01-01,Microsoft Windows,puzzle video game
Taiko Risshiden,1992-01-01,"Microsoft Windows, PlayStation, Super Nintendo Entertainment System",turn-based strategy video game
Tail Concerto,1998-04-16,PlayStation 2,"action-adventure game, platformer"
Tails Adventure,1995-09-22,Nintendo 3DS,Metroidvania
Tails and the Music Maker,1994-12-05,Unknown,music video game
Taito Legends,2005-10-14,"Microsoft Windows, PlayStation 4",arcade
Tales of Commons,,mobile phone,Unknown
Tales of Destiny,1997-12-23,"PlayStation 2, PlayStation 4","fantasy video game, role-playing video game"
Tales of Destiny 2,2002-11-28,"PlayStation 4, PlayStation Portable",role-playing video game
Tales of Eternia Online,2006-03-03,Microsoft Windows,massively multiplayer online role-playing game
Tales of Fandom Vol.1,2002-01-01,PlayStation 2,adventure video game
Tales of Fandom Vol.2,2007-01-01,PlayStation 4,adventure video game
Tales of Graces,2009-12-10,"PlayStation 3, Wii",role-playing video game
Tales of Hearts,2008-12-18,"Nintendo DS, PlayStation Vita, iOS",role-playing video game
Tales of Monkey Island,2009-07-07,"Microsoft Windows, PlayStation 3, Wii, iOS, macOS","graphic adventure game, video game with LGBT character"
Tales of Phantasia: Narikiri Dungeon,2000-11-10,Game Boy Color,role-playing video game
Tales of Pirates,2007-03-15,Microsoft Windows,"fantasy video game, massively multiplayer online role-playing game"
Tales of Rebirth,2004-12-16,"PlayStation 4, PlayStation Portable",role-playing video game
Tales of Symphonia,2003-08-29,"Microsoft Windows, Nintendo GameCube, PlayStation 3, PlayStation 4",role-playing video game
Tales of Symphonia: Dawn of the New World,2008-06-26,"PlayStation 3, Wii",role-playing video game
Tales of Vesperia,2008-08-07,"Microsoft Windows, PlayStation 3, Xbox One","action role-playing game, fantasy video game, role-playing video game"
Tales of the Abyss,2005-12-15,"Nintendo 3DS, PlayStation 4","action role-playing game, role-playing video game"
Tales of the Tempest,2006-10-26,Nintendo DS,role-playing video game
Tales of the World: Narikiri Dungeon 2,2002-10-25,Unknown,role-playing video game
Tales of the World: Narikiri Dungeon 3,2005-01-06,Unknown,tactical role-playing game
Tales of the World: Radiant Mythology 2,2009-01-29,PlayStation Portable,action role-playing game
TalesRunner,2015-02-17,Microsoft Windows,racing video game
Talesweaver,2003-01-01,Microsoft Windows,massively multiplayer online role-playing game
Talkman,2005-11-17,PlayStation Portable,machine translation
Tamagotchi,1996-11-01,Unknown,virtual pet video game
Tank,1974-11-05,arcade video game,"maze video game, strategy video game"
Tank Battalion,1980-10-01,"MSX, Microsoft Windows, arcade video game","action game, shooter game"
Tank Force,1991-12-01,"Wii, arcade video game",action game
Tank Wars,1990-01-01,DOS,"artillery game, turn-based strategy video game"
Tao Feng: Fist of the Lotus,2003-03-18,Unknown,fighting game
Tapper,1983-01-01,"Amstrad CPC, Atari 2600, Commodore 64, DOS, ZX Spectrum, arcade video game",action game
Targhan,1989-01-01,Atari ST,action game
Tartaros Online,2016-01-01,Microsoft Windows,massively multiplayer online role-playing game
Tayutama: Kiss on my Deity,2008-07-11,"Microsoft Windows, Xbox One","bishōjo game, eroge, fantasy video game, harem, romance adventure game, visual novel"
Team Buddies,2000-09-15,PlayStation 2,"action game, real-time strategy"
Team Fortress 2,2007-10-10,"Microsoft Windows, PlayStation 3, Xbox One, macOS",first-person shooter
Tears to Tiara,2005-04-28,"Microsoft Windows, PlayStation 3","eroge, harem, visual novel"
Tech Romancer,1998-01-01,arcade video game,fighting game
Technomage,2000-11-24,"Microsoft Windows, PlayStation 2",role-playing video game
Teenage Mutant Ninja Turtles,1989-10-11,"Amstrad CPC, Atari ST, Commodore 64, DOS, ZX Spectrum","action game, beat 'em up"
Teenage Mutant Ninja Turtles 2: Battle Nexus,2004-10-19,"Microsoft Windows, Nintendo GameCube, PlayStation 4",beat 'em up
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,2005-11-01,"Nintendo DS, Nintendo GameCube, PlayStation 4",fighting game
Teenage Mutant Ninja Turtles II: Back from the Sewers,1991-11-15,Game Boy,platformer
Teenage Mutant Ninja Turtles: Fall of the Foot Clan,1990-08-03,Game Boy,"platformer, science fiction video game"
